,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,ra,dec,koi_kepmag
15,FALSE POSITIVE,0,1,0,0,19.40393776,172.484253,0.000842,-0.000842,0.804,12.2155,0.0598,-0.0598,8918.7,7.18,523.0,17.69,214.7,5043.0,151.0,-151.0,4.591,0.072,-0.048,0.68,289.25821,47.635319,15.487
16,FALSE POSITIVE,0,1,0,0,19.221388942,184.5521637,4.5e-05,-4.5e-05,1.065,4.79843,0.00235,-0.00235,74284.0,49.29,698.0,55.97,2317.0,6117.0,182.0,-200.0,4.496,0.052,-0.208,0.947,295.81454,47.69035,15.341
17,FALSE POSITIVE,0,1,0,0,16.46983774,180.881761,0.000623,-0.000623,0.292,9.4378,0.06,-0.06,10479.0,7.94,595.0,29.61,303.4,5152.0,168.0,-153.0,4.517,0.088,-0.072,0.786,297.15442,47.668701,15.788
18,CONFIRMED,0,0,0,0,9.27358173,173.258155,0.000877,-0.000877,0.387,3.2875,0.0309,-0.0309,1288.3,2.47,649.0,41.85,87.2,4856.0,131.0,-146.0,4.583,0.065,-0.035,0.696,288.13824,47.724449,15.302
19,CONFIRMED,0,0,0,0,6.02930329,171.602959,0.000713,-0.000713,0.258,1.5821,0.0311,-0.0311,1912.7,2.85,678.0,50.04,65.4,4537.0,123.0,-123.0,4.648,0.02,-0.056,0.672,283.71088,47.86327,15.784
20,FALSE POSITIVE,0,1,1,1,2.696370652,170.73769,0.00234,-0.00234,0.044,3.6129,0.0686,-0.0686,397.9,1.58,1066.0,305.34,48.2,4989.0,149.0,-149.0,4.504,0.09,-0.06,0.819,283.76547,47.804298,15.269
21,CONFIRMED,0,0,0,0,5.349553819,171.80694,0.00127,-0.00127,0.092,3.0278,0.0471,-0.0471,831.0,2.55,919.0,168.99,60.6,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.91,292.37613,47.880989,15.416
22,CONFIRMED,0,0,0,0,3.94105221,136.08662,0.00233,-0.00233,0.226,2.5984,0.0737,-0.0737,363.3,1.7,1018.0,253.15,28.9,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.91,292.37613,47.880989,15.416
23,CONFIRMED,0,0,0,0,8.10904807,132.8031,0.00716,-0.00716,0.025,3.596,0.198,-0.198,217.4,1.3,800.0,97.03,14.1,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.91,292.37613,47.880989,15.416
24,FALSE POSITIVE,0,1,0,0,386.6030528,166.342079,0.000299,-0.000299,0.9765,6.8057,0.0184,-0.0184,24927.0,41.5,297.0,1.84,994.0,5543.0,79.0,-79.0,4.081,0.014,-0.014,1.58,292.27374,37.671558,12.394
25,CONFIRMED,0,0,0,0,21.67699193,171.53594,0.00258,-0.00258,0.896,3.4555,0.0656,-0.0656,857.2,2.95,530.0,18.64,34.3,4954.0,79.0,-79.0,4.5,0.075,-0.02,0.828,290.46512,47.92918,15.377
26,CONFIRMED,0,0,0,0,4.99677968,171.74208,0.00219,-0.00219,0.71,2.1717,0.0762,-0.0762,934.7,2.78,917.0,166.95,28.2,5339.0,175.0,-159.0,4.552,0.034,-0.136,0.847,297.80826,47.946671,15.861
27,CONFIRMED,0,0,0,0,4.280963604,171.89659,0.00115,-0.00115,0.424,2.875,0.042,-0.042,750.8,2.3,1012.0,247.87,61.8,5644.0,152.0,-169.0,4.564,0.032,-0.168,0.831,294.26581,49.314091,15.356
28,FALSE POSITIVE,0,0,1,0,1.50635409,170.998064,0.000246,-0.000246,0.86,1.5155,0.0483,-0.0483,2211.7,4.53,1452.0,1054.12,181.1,5714.0,155.0,-172.0,4.563,0.04,-0.16,0.831,295.66522,49.351009,15.525
29,FALSE POSITIVE,1,0,0,0,670.645531,209.04355,0.00157,-0.00157,0.701,53.412,0.131,-0.131,18091.0,14.14,196.0,0.35,642.7,5520.0,100.0,-111.0,4.466,0.032,-0.12,0.983,296.69861,49.316479,15.207
30,FALSE POSITIVE,0,1,0,0,61.2563628,173.83826,0.00209,-0.00209,1.248,7.633,0.105,-0.105,5123.3,39.87,505.0,15.43,85.3,6144.0,184.0,-220.0,4.402,0.072,-0.217,1.091,283.72592,49.479519,15.25
31,CONFIRMED,0,0,0,0,38.3775486,172.82048,0.00338,-0.00338,0.468,5.588,0.113,-0.113,724.2,2.82,529.0,18.53,34.7,5481.0,82.0,-74.0,4.369,0.121,-0.099,1.036,291.72202,49.480869,15.172
32,CONFIRMED,0,0,0,0,41.19725502,165.00404,0.00171,-0.00171,0.045,4.6297,0.0633,-0.0633,2213.9,3.86,439.0,8.76,51.2,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.848,286.99948,48.37579,15.841
33,CONFIRMED,0,0,0,0,6.252962249,171.30126,0.00117,-0.00117,0.105,2.5819,0.0426,-0.0426,1036.9,2.65,823.0,108.3,47.1,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.848,286.99948,48.37579,15.841
34,CONFIRMED,0,0,0,0,16.01308419,176.3608,0.00243,-0.00243,0.799,3.2554,0.0791,-0.0791,1121.9,3.1,593.0,29.31,33.2,5015.0,164.0,-149.0,4.499,0.092,-0.115,0.826,297.02563,48.478588,15.39
35,CONFIRMED,0,0,0,0,32.62876672,194.1019,0.00138,-0.00138,0.021,4.7971,0.058,-0.058,1804.8,3.36,506.0,15.55,80.0,5586.0,152.0,-152.0,4.56,0.05,-0.15,0.798,285.71854,48.505859,15.082
36,CONFIRMED,0,0,0,0,91.7732862,193.8378,0.00643,-0.00643,0.606,6.473,0.204,-0.204,652.0,2.12,359.0,3.92,19.1,5586.0,152.0,-152.0,4.56,0.05,-0.15,0.798,285.71854,48.505859,15.082
37,FALSE POSITIVE,0,1,1,0,2.701287801,170.69579,0.00164,-0.00164,1.016,3.3827,0.0892,-0.0892,860.4,6.54,1222.0,527.81,48.3,5550.0,182.0,-182.0,4.468,0.091,-0.169,0.91,297.92365,48.777321,15.54
38,CONFIRMED,0,0,0,0,4.49876511,171.34905,0.003,-0.003,0.312,3.7362,0.0934,-0.0934,460.0,2.1,1133.0,389.62,29.5,6075.0,189.0,-210.0,4.486,0.052,-0.208,0.969,298.45685,48.791592,15.395
39,FALSE POSITIVE,0,1,0,0,19.651209505,179.401981,0.000249,-0.000249,0.723,5.2514,0.0179,-0.0179,11766.0,12.42,730.0,67.03,513.4,6074.0,168.0,-210.0,4.391,0.09,-0.21,1.063,291.0939,48.933842,15.536
40,CONFIRMED,0,0,0,0,5.412203927,133.143089,0.000468,-0.000468,0.787,2.9472,0.024,-0.024,601.6,2.94,1093.0,337.68,166.7,5779.0,104.0,-115.0,4.339,0.132,-0.108,1.087,287.88733,46.276241,12.791
41,CONFIRMED,0,0,0,0,41.43958662,208.93203,0.00142,-0.00142,0.355,10.5989,0.088,-0.088,2793.1,5.5,516.0,16.72,141.1,5468.0,180.0,-164.0,4.367,0.153,-0.187,1.046,295.55505,49.017342,15.4
42,CONFIRMED,0,0,0,0,8.35389523,171.63257,0.00133,-0.00133,0.023,2.2514,0.0518,-0.0518,1041.6,2.52,790.0,91.9,43.4,5592.0,152.0,-152.0,4.582,0.036,-0.144,0.787,285.49924,49.277351,15.317
43,CONFIRMED,0,0,0,0,4.125543472,169.752585,0.000613,-0.000613,0.597,3.1744,0.0362,-0.0362,1487.3,4.43,1243.0,565.35,128.6,6174.0,173.0,-239.0,4.417,0.056,-0.21,1.103,291.93616,49.253979,15.506
44,CONFIRMED,0,0,0,0,2.816504904,170.9676846,4.66e-05,-4.66e-05,0.105,2.50587,0.00666,-0.00666,16814.0,12.21,1219.0,521.13,1406.8,5532.0,74.0,-83.0,4.452,0.063,-0.108,0.955,297.01547,49.225288,15.052
45,FALSE POSITIVE,0,1,1,0,33.93373447,186.67608,0.00137,-0.00137,0.812,14.561,0.104,-0.104,8503.7,7.34,430.0,8.11,236.1,5040.0,136.0,-151.0,4.628,0.03,-0.07,0.705,284.17233,49.360722,15.716
46,CONFIRMED,0,0,0,0,3.689920099,170.36571,0.00191,-0.00191,0.151,2.6557,0.0677,-0.0677,426.7,1.89,1147.0,408.99,35.6,5880.0,157.0,-192.0,4.518,0.046,-0.196,0.917,291.62241,50.61824,15.242
47,CONFIRMED,0,0,0,0,4.431238488,171.015,0.00111,-0.00111,0.405,3.15,0.0423,-0.0423,1010.9,3.25,1104.0,351.23,71.1,5714.0,77.0,-77.0,4.428,0.063,-0.117,1.015,295.81616,51.121738,15.367
48,CONFIRMED,0,0,0,0,11.37936986,133.84992,0.00183,-0.00183,0.911,2.6255,0.073,-0.073,1023.5,3.95,806.0,99.68,37.9,5714.0,77.0,-77.0,4.428,0.063,-0.117,1.015,295.81616,51.121738,15.367
49,CONFIRMED,0,0,0,0,26.39432897,176.05459,0.00176,-0.00176,0.602,3.573,0.0643,-0.0643,1510.9,3.07,489.0,13.49,48.2,5129.0,154.0,-154.0,4.595,0.03,-0.084,0.763,289.39972,51.25032,15.234
50,CONFIRMED,0,0,0,0,13.57078281,136.279194,0.000957,-0.000957,0.866,3.3539,0.0489,-0.0489,511.7,2.64,785.0,89.61,88.4,5854.0,105.0,-117.0,4.406,0.09,-0.11,1.012,300.86398,44.337551,12.882
51,CONFIRMED,0,0,0,0,7.12594387,139.00492,0.00159,-0.00159,0.898,3.0014,0.0384,-0.0384,192.4,1.79,997.0,233.31,47.1,5779.0,104.0,-115.0,4.339,0.132,-0.108,1.087,287.88733,46.276241,12.791
52,FALSE POSITIVE,0,1,0,0,7.442652004,169.9717797,7.32e-05,-7.32e-05,0.137,2.3078,0.0129,-0.0129,24446.0,15.03,967.0,206.78,835.6,6108.0,183.0,-201.0,4.469,0.07,-0.21,0.956,288.98682,49.733742,15.27
53,CONFIRMED,0,0,0,0,16.38489988,172.72782,0.00248,-0.00248,0.001,3.0249,0.0798,-0.0798,1127.1,2.0,433.0,8.35,28.9,4126.0,82.0,-82.0,4.661,0.022,-0.022,0.615,286.73804,49.97575,15.095
54,CONFIRMED,0,0,0,0,7.8774163,176.3759,0.00147,-0.00147,0.041,2.0805,0.0517,-0.0517,1306.1,2.16,553.0,22.18,38.7,4126.0,82.0,-82.0,4.661,0.022,-0.022,0.615,286.73804,49.97575,15.095
55,CONFIRMED,0,0,0,0,36.4454001,151.60125,0.00392,-0.00392,0.028,4.007,0.126,-0.126,1122.3,1.99,332.0,2.88,21.7,4126.0,82.0,-82.0,4.661,0.022,-0.022,0.615,286.73804,49.97575,15.095
56,CONFIRMED,0,0,0,0,3.728732147,171.793255,0.000195,-0.000195,0.558,2.683,0.035,-0.035,5226.5,6.02,1023.0,258.34,345.2,5497.0,166.0,-149.0,4.577,0.034,-0.136,0.809,290.78574,50.054119,15.523
57,CONFIRMED,0,0,0,0,2.243380573,170.679233,0.0009,-0.0009,0.915,1.1196,0.0384,-0.0384,821.7,1.99,822.0,107.6,38.9,4149.0,82.0,-91.0,4.698,0.024,-0.027,0.564,285.17621,50.149818,15.135
58,FALSE POSITIVE,0,1,0,0,10.405998015,177.197466,0.00019,-0.00019,0.324,6.5036,0.0145,-0.0145,14489.0,11.23,833.0,113.94,745.2,5746.0,173.0,-173.0,4.393,0.18,-0.198,0.924,289.23553,50.241001,15.562
59,CONFIRMED,0,0,0,0,2.337437946,171.761982,0.000659,-0.000659,0.28,1.9982,0.0271,-0.0271,971.2,2.34,1070.0,311.16,82.4,5005.0,79.0,-79.0,4.595,0.012,-0.064,0.765,293.83331,50.23035,15.334
60,CONFIRMED,0,0,0,0,11.59822233,180.395376,0.000923,-0.000923,0.679,2.5237,0.052,-0.052,2804.5,2.65,396.0,5.82,71.0,3688.0,73.0,-91.0,4.79,0.05,-0.045,0.473,296.22195,50.28722,15.937
61,CONFIRMED,0,0,0,0,6.575315881,173.634044,0.000455,-0.000455,0.39,4.3084,0.0306,-0.0306,2793.3,5.31,1015.0,251.38,221.1,5992.0,162.0,-180.0,4.415,0.105,-0.195,0.989,290.09805,50.321609,15.312
62,CONFIRMED,0,0,0,0,7.275040844,169.994217,0.000507,-0.000507,0.547,7.5377,0.0681,-0.0681,3001.0,4.86,833.0,113.64,312.1,5485.0,164.0,-180.0,4.556,0.028,-0.161,0.867,295.45529,50.49456,15.08
63,CONFIRMED,0,0,0,0,19.27153892,186.77093,0.00182,-0.00182,0.031,2.7594,0.0551,-0.0551,1219.8,1.93,393.0,5.66,37.1,4077.0,81.0,-81.0,4.702,0.027,-0.027,0.56,293.97336,50.53191,15.385
64,CONFIRMED,0,0,0,0,10.06524317,136.28906,0.00119,-0.00119,0.628,1.369,0.0393,-0.0393,1053.3,1.91,488.0,13.43,30.3,4077.0,81.0,-81.0,4.702,0.027,-0.027,0.56,293.97336,50.53191,15.385
65,CONFIRMED,0,0,0,0,12.3935651,178.74725,0.00245,-0.00245,0.883,3.8896,0.0834,-0.0834,916.6,2.66,677.0,49.68,35.8,5557.0,166.0,-166.0,4.603,0.034,-0.128,0.75,296.02133,50.56778,15.505
66,CONFIRMED,0,0,0,0,43.84439721,151.93538,0.00192,-0.00192,0.852,6.802,0.119,-0.119,615.2,2.87,531.0,18.77,83.7,5854.0,105.0,-117.0,4.406,0.09,-0.11,1.012,300.86398,44.337551,12.882
67,FALSE POSITIVE,0,1,1,0,3.341913228,171.63943,0.00247,-0.00247,1.213,3.813,0.12,-0.12,725.3,21.55,1032.0,268.67,39.0,5295.0,175.0,-159.0,4.551,0.049,-0.105,0.811,292.31595,38.27029,15.629
68,CONFIRMED,0,0,0,0,2.711504086,170.03417,0.00111,-0.00111,0.023,3.0099,0.0423,-0.0423,837.5,3.12,1420.0,960.79,64.5,6214.0,174.0,-239.0,4.442,0.054,-0.216,1.076,291.65353,38.494659,15.541
69,CONFIRMED,0,0,0,0,7.21203748,172.81782,0.00163,-0.00163,0.012,4.0491,0.058,-0.058,950.4,3.32,1025.0,260.58,51.5,6214.0,174.0,-239.0,4.442,0.054,-0.216,1.076,291.65353,38.494659,15.541
70,FALSE POSITIVE,0,0,0,1,14.1798187,171.50237,0.0076,-0.0076,0.1601,2.505,0.315,-0.315,459.9,1.88,711.0,60.35,11.2,5799.0,161.0,-168.0,4.539,0.027,-0.275,0.878,291.0448,51.321671,15.727
71,CONFIRMED,0,0,0,0,8.47237911,174.16212,0.00149,-0.00149,0.022,2.7245,0.0484,-0.0484,1123.5,2.59,751.0,75.44,47.6,5354.0,159.0,-159.0,4.587,0.032,-0.104,0.788,296.36652,51.319519,15.339
72,CONFIRMED,0,0,0,0,60.4189369,181.16367,0.00625,-0.00625,0.094,5.039,0.184,-0.184,931.3,2.36,390.0,5.49,20.1,5354.0,159.0,-159.0,4.587,0.032,-0.104,0.788,296.36652,51.319519,15.339
73,CONFIRMED,0,0,0,0,12.611904345,180.892284,0.000413,-0.000413,0.55,5.1497,0.0592,-0.0592,6105.6,7.4,753.0,76.15,277.2,5795.0,156.0,-173.0,4.508,0.039,-0.208,0.919,289.11221,51.737381,15.14
74,FALSE POSITIVE,0,1,0,0,1.433769925,170.403536,0.000397,-0.000397,1.268,1.8868,0.0232,-0.0232,1976.3,46.58,1920.0,3209.29,112.6,6017.0,72.0,-90.0,4.22,0.156,-0.117,1.339,290.84369,37.728828,15.122
75,FALSE POSITIVE,0,1,1,0,10.31872301,173.31543,0.00224,-0.00224,1.215,3.836,0.121,-0.121,871.7,28.59,876.0,139.26,38.2,5927.0,176.0,-193.0,4.409,0.084,-0.196,1.06,291.84891,37.713501,15.065
76,CONFIRMED,0,0,0,0,2.539183147,169.67494,0.0016,-0.0016,0.238,2.4282,0.0559,-0.0559,382.1,2.06,1332.0,743.09,38.9,5519.0,82.0,-74.0,4.35,0.126,-0.103,1.062,291.43997,37.905659,15.026
77,CONFIRMED,0,0,0,0,6.770300385,170.57662,0.00108,-0.00108,0.838,2.0844,0.0454,-0.0454,1304.0,2.77,812.0,102.87,50.8,5653.0,166.0,-166.0,4.656,0.028,-0.112,0.679,290.87051,38.273628,15.591
78,FALSE POSITIVE,0,1,1,1,0.444291966,169.865406,0.000169,-0.000169,1.258,2.0792,0.0115,-0.0115,10967.0,27.51,1836.0,2706.26,299.7,5255.0,156.0,-156.0,4.678,0.028,-0.083,0.636,290.99689,38.28492,15.748
79,CONFIRMED,0,0,0,0,20.06036336,147.46554,0.00241,-0.00241,0.556,3.3203,0.0754,-0.0754,1494.7,1.96,361.0,4.0,35.2,3950.0,70.0,-86.0,4.754,0.042,-0.031,0.493,286.07913,39.27832,15.954
80,CONFIRMED,0,0,0,0,46.1842039,165.23729,0.0043,-0.0043,0.013,4.758,0.13,-0.13,1394.7,1.83,273.0,1.32,26.0,3950.0,70.0,-86.0,4.754,0.042,-0.031,0.493,286.07913,39.27832,15.954
81,CONFIRMED,0,0,0,0,23.9800854,147.537,0.00647,-0.00647,0.95,5.351,0.177,-0.177,104.0,1.31,649.0,41.94,17.1,5854.0,105.0,-117.0,4.406,0.09,-0.11,1.012,300.86398,44.337551,12.882
82,CONFIRMED,0,0,0,0,7.82502168,136.54995,0.00436,-0.00436,0.708,2.186,0.12,-0.12,520.8,1.2,494.0,14.05,15.9,3950.0,70.0,-86.0,4.754,0.042,-0.031,0.493,286.07913,39.27832,15.954
83,CONFIRMED,0,0,0,0,3.895936525,170.527552,0.000157,-0.000157,0.524,2.3111,0.0302,-0.0302,8544.8,7.34,1005.0,241.62,370.8,5557.0,167.0,-167.0,4.592,0.034,-0.136,0.774,294.65524,39.308361,15.725
84,CONFIRMED,0,0,0,0,22.36646466,175.45862,0.00354,-0.00354,0.4,5.228,0.122,-0.122,986.8,2.32,536.0,19.45,32.1,5395.0,160.0,-160.0,4.615,0.032,-0.104,0.734,294.71063,39.52174,15.583
85,CONFIRMED,0,0,0,0,1.625522174,170.8266564,7.61e-05,-7.61e-05,0.076,2.38963,0.00338,-0.00338,7969.0,9.73,1579.0,1467.41,799.7,5539.0,83.0,-74.0,4.322,0.137,-0.1,1.106,293.87192,38.422939,15.001
86,FALSE POSITIVE,1,0,1,0,7.544039,171.7982,0.0105,-0.0105,1.175,6.222,0.731,-0.731,322.6,17.47,838.0,116.46,14.2,5657.0,152.0,-169.0,4.567,0.038,-0.152,0.824,293.94116,38.601101,15.559
87,FALSE POSITIVE,0,1,0,0,10.328035714,174.581054,0.000306,-0.000306,0.281,7.7915,0.0272,-0.0272,16918.0,13.28,843.0,119.31,636.8,5627.0,169.0,-169.0,4.359,0.18,-0.18,1.024,287.69675,38.886452,15.646
88,CONFIRMED,0,0,0,0,143.2063047,154.23552,0.0013,-0.0013,0.379,8.9302,0.0961,-0.0961,10566.0,8.9,308.0,2.14,138.8,5485.0,98.0,-120.0,4.556,0.014,-0.081,0.867,285.28363,38.947281,15.403
89,CONFIRMED,0,0,0,0,6.164876,135.63916,0.00661,-0.00661,0.646,3.262,0.186,-0.186,55.8,0.79,1021.0,256.35,14.4,5854.0,105.0,-117.0,4.406,0.09,-0.11,1.012,300.86398,44.337551,12.882
90,CONFIRMED,0,0,0,0,60.32494216,243.892578,0.000423,-0.000423,0.224,6.6188,0.0327,-0.0327,20280.0,12.19,411.0,6.77,347.2,5485.0,98.0,-120.0,4.556,0.014,-0.081,0.867,285.28363,38.947281,15.403
91,CONFIRMED,0,0,0,0,29.1598615,150.69922,0.00718,-0.00718,0.3619,4.803,0.2,-0.2,488.0,1.91,524.0,17.85,11.6,5485.0,99.0,-112.0,4.556,0.014,-0.094,0.867,285.28363,38.947281,15.403
92,FALSE POSITIVE,0,0,1,1,1.540397253,170.50479,0.0015,-0.0015,1.225,2.1541,0.0846,-0.0846,816.1,25.69,1470.0,1105.68,38.8,5663.0,171.0,-188.0,4.53,0.036,-0.204,0.915,286.92639,38.921631,15.974
93,FALSE POSITIVE,0,0,1,1,2.99025443,171.9834,0.00309,-0.00309,0.014,5.414,0.113,-0.113,589.2,1.7,918.0,168.45,48.5,4667.0,140.0,-154.0,4.578,0.048,-0.028,0.731,287.74881,38.92955,15.842
94,CONFIRMED,0,0,0,0,1.594745374,170.6483505,5.79e-05,-5.79e-05,0.514,1.9604,0.0106,-0.0106,15044.0,11.3,1539.0,1329.42,1009.3,5934.0,160.0,-178.0,4.491,0.065,-0.195,0.893,285.21381,39.027481,15.53
95,CONFIRMED,0,0,0,0,20.50588921,181.43428,0.00122,-0.00122,0.26,4.0595,0.0481,-0.0481,2105.5,3.41,518.0,17.06,78.5,4905.0,148.0,-148.0,4.544,0.072,-0.044,0.761,289.31543,39.153278,15.398
96,CONFIRMED,0,0,0,0,3.340218842,171.979062,0.00075,-0.00075,0.466,1.9104,0.0318,-0.0318,1632.6,2.03,656.0,43.73,71.6,3950.0,70.0,-86.0,4.754,0.042,-0.031,0.493,286.07913,39.27832,15.954
97,FALSE POSITIVE,0,1,1,0,2.507089906,171.002455,0.000835,-0.000835,1.255,2.0067,0.0427,-0.0427,1339.2,30.26,1326.0,730.47,64.9,5926.0,184.0,-226.0,4.506,0.054,-0.216,0.939,295.37805,40.493401,15.555
98,CONFIRMED,0,0,0,0,18.64932728,174.771,0.00224,-0.00224,0.08,4.4056,0.0687,-0.0687,893.6,3.12,701.0,57.13,46.1,5775.0,78.0,-78.0,4.405,0.066,-0.123,1.053,290.46176,40.562462,15.386
99,CONFIRMED,0,0,0,0,4.90144976,138.60548,0.00175,-0.00175,0.529,4.1654,0.0585,-0.0585,140.7,1.7,1262.0,598.74,50.6,5847.0,64.0,-75.0,4.191,0.02,-0.018,1.402,297.02826,48.208611,12.487
100,CONFIRMED,0,0,0,0,9.75192101,138.78608,0.0036,-0.0036,0.949,4.793,0.181,-0.181,418.0,2.76,870.0,135.66,28.5,5775.0,78.0,-78.0,4.405,0.066,-0.123,1.053,290.46176,40.562462,15.386
101,CONFIRMED,0,0,0,0,38.5576546,163.85063,0.00407,-0.00407,0.911,5.794,0.199,-0.199,993.0,4.02,550.0,21.71,39.7,5775.0,78.0,-78.0,4.405,0.066,-0.123,1.053,290.46176,40.562462,15.386
102,CONFIRMED,0,0,0,0,3.525632539,170.0479951,3.33e-05,-3.33e-05,0.12,2.59959,0.00079,-0.00079,22335.0,11.58,975.0,213.12,1996.7,5150.0,82.0,-82.0,4.572,0.02,-0.064,0.793,290.58173,40.5774,15.224
103,CONFIRMED,0,0,0,0,7.748094239,174.997206,0.000765,-0.000765,0.517,3.5957,0.043,-0.043,2472.1,5.52,964.0,204.39,113.2,5973.0,169.0,-232.0,4.439,0.052,-0.221,1.085,294.4899,39.771439,15.67
104,CONFIRMED,0,0,0,0,23.96793669,186.22182,0.00305,-0.00305,0.416,3.827,0.113,-0.113,1182.3,1.8,329.0,2.77,27.5,3747.0,75.0,-83.0,4.728,0.042,-0.025,0.524,283.86639,39.898079,15.414
105,CONFIRMED,0,0,0,0,8.11437482,176.33968,0.00107,-0.00107,0.573,2.2736,0.0447,-0.0447,1558.0,2.1,460.0,10.55,56.4,3692.0,73.0,-83.0,4.753,0.032,-0.039,0.517,288.81201,40.033401,15.877
106,FALSE POSITIVE,0,1,0,0,38.036729482,196.934947,7.16e-05,-7.16e-05,0.501,4.34617,0.00645,-0.00645,82872.0,27.5,500.0,14.81,1300.0,5575.0,166.0,-183.0,4.521,0.038,-0.152,0.932,294.14789,40.055538,15.472
